Projet de loi N°65/2014 portant approbation du mémorandum d'accord conclu le 29 août 2014 et la convention de prêt conclu le 8 septembre 2014 entre le Gouvernement de la République tunisienne et l'Union Européenne,,,Development
Projet de loi N°62/2014 portant approbation de l'accord de prêt conclu le 24 juin 2014 entre le gouvernement de la République Tunisienne et le fonds arabe pour le développement économique et social (FADES) pour la contribution au financement du projet « barrage Mellègue supérieur »,,,Defense
Projet de loi N°68/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au projet de protection du bassin d'Oued Mejerda des inondations et de la convention de crédit entre le gouvernement de la République tunisienne et l'Agence Japonaise de Coopération Internationale,,,Budget (Government)
Projet de loi N°08/2015 fixant des exemptions de la taxe de sortie du territoire tunisien,,,Economic Reform
Projet de loi N°63/2014 portant approbation de la convention de garantie conclue le 26 juin 2014 entre le gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne de Sidérurgie «El Fouladh» et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de matières premières,,,Social/Other
"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée conjointement des groupes parlementaires opposants et des députés opposants ?",,,Family Status Law
Projet de loi N°13/2015 portant approbation de la convention de prêt conclue à Tunis le 19 Décembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Allemande pour la Reconstruction (KFW) pour la contribution au financement du projet de modernisation des établissements scolaires,,,Health Care
Projet de loi N°14/2015 portant approbation du contrat de financement conclu à Tunis le 19 juin 2014 entre le Gouvernement de la République Tunisienne et la Banque Européenne d’Investissement pour la contribution au financement du projet de modernisation des établissements scolaires,,,Parliamentary Rules
Projet de loi N°10/2015 portant approbation de l’accord de prêt conclu le 28 Novembre 2014 entre le Gouvernement de la République Tunisienne et la Banque Africaine de Développement pour la contribution au financement du projet de développement agricole intégré de Gabès II,,,
Projet de loi N°11/2015 portant approbation de la convention de garantie conclue le 20 novembre 2014 entre le Gouvernement de la République Tunisienne et la Société Internationale Islamique de Financement du Commerce et relative à la convention de Mourabaha conclue entre la Société Tunisienne des Industries de Raffinage et la Société Internationale Islamique de Financement du Commerce pour le financement des importations de pétrole brut et de produits pétroliers,,,
Projet de loi N°67/2014 portant approbation d'un échange de notes entre le gouvernement de la République tunisienne et le gouvernement du Japon relatif au financement du projet de construction d'une centrale électrique à cycle combiné à Rades et la lettre de garantie de crédit relative à l'accord signé entre l'Agence Japonaise de Coopération Internationale et la Société Tunisienne d'Electricité et de Gaz,,,
Projet de loi N°05/2014 portant régularisation de la situation des constructions édifiées et en violation du permis de bâtir,,,
